question_id,question_content,topic_tags,difficulty,weight,answer,student_response
Q0001,Passage comprehension question 1 about inference,Inference,Easy,3,Sample correct answer 1,Sample student response 1
Q0002,Passage comprehension question 2 about vocabulary,Vocabulary,Easy,2,Sample correct answer 2,Sample student response 2
Q0003,Passage comprehension question 3 about inference,Inference,Hard,5,Sample correct answer 3,Sample student response 3
Q0004,Passage comprehension question 4 about inference,Inference,Hard,4,Sample correct answer 4,Sample student response 4
Q0005,Passage comprehension question 5 about inference,Inference,Easy,1,Sample correct answer 5,Sample student response 5
Q0006,Passage comprehension question 6 about vocabulary,Vocabulary,Easy,5,Sample correct answer 6,Sample student response 6
Q0007,Passage comprehension question 7 about tone,Tone,Easy,5,Sample correct answer 7,Sample student response 7
Q0008,Passage comprehension question 8 about vocabulary,Vocabulary,Hard,5,Sample correct answer 8,Sample student response 8
Q0009,Passage comprehension question 9 about details,Details,Easy,4,Sample correct answer 9,Sample student response 9
Q0010,Passage comprehension question 10 about tone,Tone,Medium,1,Sample correct answer 10,Sample student response 10
Q0011,Passage comprehension question 11 about vocabulary,Vocabulary,Hard,4,Sample correct answer 11,Sample student response 11
Q0012,Passage comprehension question 12 about main idea,Main Idea,Medium,2,Sample correct answer 12,Sample student response 12
Q0013,Passage comprehension question 13 about vocabulary,Vocabulary,Medium,1,Sample correct answer 13,Sample student response 13
Q0014,Passage comprehension question 14 about inference,Inference,Medium,1,Sample correct answer 14,Sample student response 14
Q0015,Passage comprehension question 15 about main idea,Main Idea,Medium,5,Sample correct answer 15,Sample student response 15
Q0016,Passage comprehension question 16 about main idea,Main Idea,Easy,4,Sample correct answer 16,Sample student response 16
Q0017,Passage comprehension question 17 about tone,Tone,Easy,4,Sample correct answer 17,Sample student response 17
Q0018,Passage comprehension question 18 about inference,Inference,Hard,3,Sample correct answer 18,Sample student response 18
Q0019,Passage comprehension question 19 about tone,Tone,Medium,5,Sample correct answer 19,Sample student response 19
Q0020,Passage comprehension question 20 about vocabulary,Vocabulary,Hard,1,Sample correct answer 20,Sample student response 20
Q0021,Passage comprehension question 21 about inference,Inference,Hard,2,Sample correct answer 21,Sample student response 21
Q0022,Passage comprehension question 22 about main idea,Main Idea,Easy,2,Sample correct answer 22,Sample student response 22
Q0023,Passage comprehension question 23 about inference,Inference,Medium,3,Sample correct answer 23,Sample student response 23
Q0024,Passage comprehension question 24 about details,Details,Hard,3,Sample correct answer 24,Sample student response 24
Q0025,Passage comprehension question 25 about vocabulary,Vocabulary,Medium,3,Sample correct answer 25,Sample student response 25
Q0026,Passage comprehension question 26 about vocabulary,Vocabulary,Hard,3,Sample correct answer 26,Sample student response 26
Q0027,Passage comprehension question 27 about inference,Inference,Hard,2,Sample correct answer 27,Sample student response 27
Q0028,Passage comprehension question 28 about tone,Tone,Hard,2,Sample correct answer 28,Sample student response 28
Q0029,Passage comprehension question 29 about vocabulary,Vocabulary,Medium,4,Sample correct answer 29,Sample student response 29
Q0030,Passage comprehension question 30 about main idea,Main Idea,Hard,5,Sample correct answer 30,Sample student response 30
Q0031,Passage comprehension question 31 about vocabulary,Vocabulary,Hard,3,Sample correct answer 31,Sample student response 31
Q0032,Passage comprehension question 32 about inference,Inference,Easy,1,Sample correct answer 32,Sample student response 32
Q0033,Passage comprehension question 33 about main idea,Main Idea,Medium,3,Sample correct answer 33,Sample student response 33
Q0034,Passage comprehension question 34 about inference,Inference,Easy,5,Sample correct answer 34,Sample student response 34
Q0035,Passage comprehension question 35 about main idea,Main Idea,Easy,4,Sample correct answer 35,Sample student response 35
Q0036,Passage comprehension question 36 about details,Details,Hard,4,Sample correct answer 36,Sample student response 36
Q0037,Passage comprehension question 37 about vocabulary,Vocabulary,Medium,2,Sample correct answer 37,Sample student response 37
Q0038,Passage comprehension question 38 about vocabulary,Vocabulary,Hard,5,Sample correct answer 38,Sample student response 38
Q0039,Passage comprehension question 39 about tone,Tone,Medium,5,Sample correct answer 39,Sample student response 39
Q0040,Passage comprehension question 40 about details,Details,Hard,4,Sample correct answer 40,Sample student response 40
Q0041,Passage comprehension question 41 about main idea,Main Idea,Easy,2,Sample correct answer 41,Sample student response 41
Q0042,Passage comprehension question 42 about tone,Tone,Medium,1,Sample correct answer 42,Sample student response 42
Q0043,Passage comprehension question 43 about inference,Inference,Easy,2,Sample correct answer 43,Sample student response 43
Q0044,Passage comprehension question 44 about vocabulary,Vocabulary,Hard,4,Sample correct answer 44,Sample student response 44
Q0045,Passage comprehension question 45 about tone,Tone,Easy,4,Sample correct answer 45,Sample student response 45
Q0046,Passage comprehension question 46 about details,Details,Hard,4,Sample correct answer 46,Sample student response 46
Q0047,Passage comprehension question 47 about tone,Tone,Medium,5,Sample correct answer 47,Sample student response 47
Q0048,Passage comprehension question 48 about inference,Inference,Hard,1,Sample correct answer 48,Sample student response 48
Q0049,Passage comprehension question 49 about tone,Tone,Medium,3,Sample correct answer 49,Sample student response 49
Q0050,Passage comprehension question 50 about inference,Inference,Medium,4,Sample correct answer 50,Sample student response 50
Q0051,Passage comprehension question 51 about vocabulary,Vocabulary,Medium,1,Sample correct answer 51,Sample student response 51
Q0052,Passage comprehension question 52 about main idea,Main Idea,Hard,2,Sample correct answer 52,Sample student response 52
Q0053,Passage comprehension question 53 about tone,Tone,Easy,3,Sample correct answer 53,Sample student response 53
Q0054,Passage comprehension question 54 about tone,Tone,Hard,2,Sample correct answer 54,Sample student response 54
Q0055,Passage comprehension question 55 about vocabulary,Vocabulary,Medium,2,Sample correct answer 55,Sample student response 55
Q0056,Passage comprehension question 56 about tone,Tone,Hard,1,Sample correct answer 56,Sample student response 56
Q0057,Passage comprehension question 57 about tone,Tone,Medium,4,Sample correct answer 57,Sample student response 57
Q0058,Passage comprehension question 58 about inference,Inference,Easy,3,Sample correct answer 58,Sample student response 58
Q0059,Passage comprehension question 59 about main idea,Main Idea,Easy,1,Sample correct answer 59,Sample student response 59
Q0060,Passage comprehension question 60 about vocabulary,Vocabulary,Hard,1,Sample correct answer 60,Sample student response 60
Q0061,Passage comprehension question 61 about inference,Inference,Hard,4,Sample correct answer 61,Sample student response 61
Q0062,Passage comprehension question 62 about inference,Inference,Hard,2,Sample correct answer 62,Sample student response 62
Q0063,Passage comprehension question 63 about vocabulary,Vocabulary,Hard,4,Sample correct answer 63,Sample student response 63
Q0064,Passage comprehension question 64 about tone,Tone,Easy,3,Sample correct answer 64,Sample student response 64
Q0065,Passage comprehension question 65 about tone,Tone,Hard,4,Sample correct answer 65,Sample student response 65
Q0066,Passage comprehension question 66 about vocabulary,Vocabulary,Hard,2,Sample correct answer 66,Sample student response 66
Q0067,Passage comprehension question 67 about main idea,Main Idea,Medium,3,Sample correct answer 67,Sample student response 67
Q0068,Passage comprehension question 68 about details,Details,Hard,4,Sample correct answer 68,Sample student response 68
Q0069,Passage comprehension question 69 about inference,Inference,Easy,2,Sample correct answer 69,Sample student response 69
Q0070,Passage comprehension question 70 about inference,Inference,Medium,1,Sample correct answer 70,Sample student response 70
Q0071,Passage comprehension question 71 about tone,Tone,Hard,2,Sample correct answer 71,Sample student response 71
Q0072,Passage comprehension question 72 about tone,Tone,Easy,1,Sample correct answer 72,Sample student response 72
Q0073,Passage comprehension question 73 about inference,Inference,Hard,1,Sample correct answer 73,Sample student response 73
Q0074,Passage comprehension question 74 about vocabulary,Vocabulary,Easy,1,Sample correct answer 74,Sample student response 74
Q0075,Passage comprehension question 75 about main idea,Main Idea,Easy,5,Sample correct answer 75,Sample student response 75
Q0076,Passage comprehension question 76 about vocabulary,Vocabulary,Medium,4,Sample correct answer 76,Sample student response 76
Q0077,Passage comprehension question 77 about vocabulary,Vocabulary,Hard,2,Sample correct answer 77,Sample student response 77
Q0078,Passage comprehension question 78 about tone,Tone,Hard,4,Sample correct answer 78,Sample student response 78
Q0079,Passage comprehension question 79 about vocabulary,Vocabulary,Medium,4,Sample correct answer 79,Sample student response 79
Q0080,Passage comprehension question 80 about vocabulary,Vocabulary,Easy,1,Sample correct answer 80,Sample student response 80
Q0081,Passage comprehension question 81 about details,Details,Medium,4,Sample correct answer 81,Sample student response 81
Q0082,Passage comprehension question 82 about details,Details,Medium,1,Sample correct answer 82,Sample student response 82
Q0083,Passage comprehension question 83 about inference,Inference,Easy,4,Sample correct answer 83,Sample student response 83
Q0084,Passage comprehension question 84 about main idea,Main Idea,Easy,2,Sample correct answer 84,Sample student response 84
Q0085,Passage comprehension question 85 about vocabulary,Vocabulary,Easy,5,Sample correct answer 85,Sample student response 85
Q0086,Passage comprehension question 86 about details,Details,Easy,4,Sample correct answer 86,Sample student response 86
Q0087,Passage comprehension question 87 about vocabulary,Vocabulary,Medium,4,Sample correct answer 87,Sample student response 87
Q0088,Passage comprehension question 88 about vocabulary,Vocabulary,Easy,4,Sample correct answer 88,Sample student response 88
Q0089,Passage comprehension question 89 about tone,Tone,Easy,1,Sample correct answer 89,Sample student response 89
Q0090,Passage comprehension question 90 about tone,Tone,Easy,1,Sample correct answer 90,Sample student response 90
Q0091,Passage comprehension question 91 about vocabulary,Vocabulary,Easy,4,Sample correct answer 91,Sample student response 91
Q0092,Passage comprehension question 92 about details,Details,Medium,2,Sample correct answer 92,Sample student response 92
Q0093,Passage comprehension question 93 about details,Details,Easy,2,Sample correct answer 93,Sample student response 93
Q0094,Passage comprehension question 94 about details,Details,Easy,4,Sample correct answer 94,Sample student response 94
Q0095,Passage comprehension question 95 about main idea,Main Idea,Medium,3,Sample correct answer 95,Sample student response 95
Q0096,Passage comprehension question 96 about details,Details,Hard,5,Sample correct answer 96,Sample student response 96
Q0097,Passage comprehension question 97 about details,Details,Easy,2,Sample correct answer 97,Sample student response 97
Q0098,Passage comprehension question 98 about main idea,Main Idea,Easy,1,Sample correct answer 98,Sample student response 98
Q0099,Passage comprehension question 99 about tone,Tone,Hard,5,Sample correct answer 99,Sample student response 99
Q0100,Passage comprehension question 100 about inference,Inference,Hard,3,Sample correct answer 100,Sample student response 100
Q0101,Passage comprehension question 101 about inference,Inference,Easy,5,Sample correct answer 101,Sample student response 101
Q0102,Passage comprehension question 102 about details,Details,Hard,5,Sample correct answer 102,Sample student response 102
Q0103,Passage comprehension question 103 about vocabulary,Vocabulary,Easy,5,Sample correct answer 103,Sample student response 103
Q0104,Passage comprehension question 104 about inference,Inference,Easy,1,Sample correct answer 104,Sample student response 104
Q0105,Passage comprehension question 105 about tone,Tone,Easy,2,Sample correct answer 105,Sample student response 105
Q0106,Passage comprehension question 106 about details,Details,Easy,5,Sample correct answer 106,Sample student response 106
Q0107,Passage comprehension question 107 about vocabulary,Vocabulary,Hard,5,Sample correct answer 107,Sample student response 107
Q0108,Passage comprehension question 108 about inference,Inference,Hard,1,Sample correct answer 108,Sample student response 108
Q0109,Passage comprehension question 109 about details,Details,Hard,5,Sample correct answer 109,Sample student response 109
